id,run_name,input_path,output_path,excution_time
65.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 12:03:36
66.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 12:10:21
67.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 12:17:37
68.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 12:18:19
69.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 12:20:55
70.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 14:14:06
71.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:35:57
72.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:38:20
73.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:40:17
74.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:46:21
75.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:49:16
76.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:50:12
77.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 15:50:55
